basin, number, time, tech, forecastHr, lat , lon, vmax, mslp, 
basin, number, time, tech, model, forecastHr, lat , lon, vmax, mslp, 
WP, 19, 2006100100, 03, EE09,  12, 156N, 1066E,  29,  991, XX
WP, 19, 2006100100, 03, EE09,  24, 155N, 1050E,  30,  993, XX
WP, 19, 2006100100, 03, EE09,  36, 155N, 1035E,  27,  998, XX
WP, 19, 2006100100, 03, EE09,  48, 156N, 1021E,  16, 1003, XX
WP, 19, 2006100100, 03, EE10,   0, 159N, 1086E,  47,  982, XX
WP, 19, 2006100100, 03, EE10,  12, 155N, 1070E,  39,  989, XX
WP, 19, 2006100100, 03, EE10,  24, 155N, 1052E,  38,  992, XX
WP, 19, 2006100100, 03, EE10,  36, 160N, 1036E,  21,  998, XX
WP, 19, 2006100100, 03, EE10,  48, 159N, 1014E,  17, 1002, XX
WP, 19, 2006100100, 03, EE11,   0, 159N, 1086E,  47,  982, XX
WP, 19, 2006100100, 03, EE11,  12, 155N, 1070E,  37,  991, XX
WP, 19, 2006100100, 03, EE11,  24, 157N, 1052E,  24,  994, XX
WP, 19, 2006100100, 03, EE11,  36, 160N, 1035E,  28,  998, XX
WP, 19, 2006100100, 03, EE11,  48, 160N, 1023E,  19, 1003, XX
WP, 19, 2006100100, 03, EE12,   0, 159N, 1086E,  47,  983, XX
WP, 19, 2006100100, 03, EE12,  12, 154N, 1069E,  38,  992, XX
WP, 19, 2006100100, 03, EE12,  24, 152N, 1050E,  36,  992, XX
WP, 19, 2006100100, 03, EE12,  36, 152N, 1037E,  27,  997, XX
WP, 19, 2006100100, 03, EE12,  48, 154N, 1023E,  16, 1001, XX
WP, 19, 2006100100, 03, EE12,  60, 151N, 1006E,  17, 1002, XX
WP, 19, 2006100100, 03, EE12,  72, 149N, 1001E,  22, 1004, XX
WP, 19, 2006100100, 03, EE12,  84, 155N,  974E,  20, 1003, XX
WP, 19, 2006100100, 03, EE12,  96, 144N,  974E,  28, 1003, XX
WP, 19, 2006100100, 03, EE12, 108, 146N,  975E,  29, 1001, XX
WP, 19, 2006100100, 03, EE12, 120, 154N, 1000E,  28, 1003, XX
WP, 19, 2006100100, 03, EE13,   0, 159N, 1086E,  46,  982, XX
WP, 19, 2006100100, 03, EE13,  12, 150N, 1067E,  40,  991, XX
WP, 19, 2006100100, 03, EE13,  24, 151N, 1054E,  26,  994, XX
WP, 19, 2006100100, 03, EE13,  36, 151N, 1041E,  22,  998, XX
WP, 19, 2006100100, 03, EE13,  48, 148N, 1032E,  17, 1002, XX
WP, 19, 2006100100, 03, EE14,   0, 159N, 1086E,  47,  984, XX
WP, 19, 2006100100, 03, EE14,  12, 160N, 1076E,  33,  993, XX
WP, 19, 2006100100, 03, EE14,  24, 160N, 1055E,  31,  998, XX
WP, 19, 2006100100, 03, EE14,  36, 156N, 1044E,  22, 1002, XX
WP, 19, 2006100100, 03, EE14,  48, 160N, 1036E,  17, 1006, XX
WP, 19, 2006100100, 03, EE15,   0, 159N, 1086E,  46,  984, XX
WP, 19, 2006100100, 03, EE15,  12, 159N, 1064E,  32,  992, XX
WP, 19, 2006100100, 03, EE15,  24, 158N, 1043E,  25,  996, XX
WP, 19, 2006100100, 03, EE15,  36, 161N, 1024E,  20,  999, XX
WP, 19, 2006100100, 03, EE15,  48, 166N, 1000E,  20, 1003, XX
WP, 19, 2006100100, 03, EE15,  60, 165N,  999E,  17, 1004, XX
WP, 19, 2006100100, 03, EE15,  72, 175N,  961E,  18, 1006, XX
WP, 19, 2006100100, 03, EE15,  84, 201N,  924E,  11, 1004, XX
WP, 19, 2006100100, 03, EE15,  96, 200N,  928E,  10, 1006, XX
WP, 19, 2006100100, 03, EE15, 108, 175N,  959E,  19, 1005, XX
WP, 19, 2006100100, 03, EE16,   0, 159N, 1086E,  48,  982, XX
WP, 19, 2006100100, 03, EE16,  12, 154N, 1077E,  47,  990, XX
WP, 19, 2006100100, 03, EE16,  24, 156N, 1063E,  33,  993, XX
WP, 19, 2006100100, 03, EE16,  36, 155N, 1051E,  29,  998, XX
WP, 19, 2006100100, 03, EE17,   0, 159N, 1086E,  46,  982, XX
WP, 19, 2006100100, 03, EE17,  12, 155N, 1066E,  36,  988, XX
WP, 19, 2006100100, 03, EE17,  24, 156N, 1048E,  34,  992, XX
WP, 19, 2006100100, 03, EE17,  36, 162N, 1032E,  27,  997, XX
WP, 19, 2006100100, 03, EE17,  48, 169N, 1007E,  17, 1004, XX
